case,case_label,config,sched,ocs,reuse,rfc,bank,wbd,regb,ocu,dp,reuse_time,rfc_compiler_reuse_time,rfc_compiler_reuse_hit_time,reuse_time_rate,rfc_compiler_reuse_rate,computed_reuse_time_rate,computed_rfc_compiler_reuse_rate,compiler_reuse_coverage_pct,compiler_reuse_hit_over_all_reuse_pct,log_path
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801,lrr,1,0,1,2,1,8,8,4,79731,96256,24485,0.8283,0.2544,0.8283223902925532,0.2543737533244681,120.7259409765336,30.70951072982905,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111,lrr,2,0,1,2,1,8,8,4,85226,96256,23275,0.8854,0.2418,0.8854097406914894,0.2418031083776596,112.9420599347617,27.309741158801305,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422,lrr,4,0,1,2,1,8,8,4,83395,96256,7780,0.8664,0.0808,0.8663875498670213,0.08082613031914894,115.42178787697104,9.329096468613226,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733,lrr,6,0,1,2,1,8,8,4,66610,96256,8222,0.692,0.0854,0.6920088098404256,0.08541805186170212,144.50683080618523,12.343491968172946,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528,gto,1,0,1,2,1,8,8,4,6439,1024,590,6.2881,0.5762,6.2880859375,0.576171875,15.903090542009629,9.162913495884455,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839,gto,2,0,1,2,1,8,8,4,7716,1024,328,7.5352,0.3203,7.53515625,0.3203125,13.271124935199586,4.250907205806117,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144,gto,4,0,1,2,1,8,8,4,6774,1024,150,6.6152,0.1465,6.615234375,0.146484375,15.116622379687039,2.2143489813994686,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455,gto,6,0,1,2,1,8,8,4,6365,1024,50,6.2158,0.0488,6.2158203125,0.048828125,16.087981146897093,0.7855459544383346,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801,lrr,1,0,1,2,1,8,8,4,5310,1024,590,5.1855,0.5762,5.185546875,0.576171875,19.284369114877588,11.11111111111111,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111,lrr,2,0,1,2,1,8,8,4,6668,1024,328,6.5117,0.3203,6.51171875,0.3203125,15.356928614277143,4.919016196760648,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422,lrr,4,0,1,2,1,8,8,4,6737,1024,150,6.5791,0.1465,6.5791015625,0.146484375,15.199643758349414,2.226510316164465,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
lud-rodinia-2.0-ft__v__b__i___data_64_dat,lud,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733,lrr,6,0,1,2,1,8,8,4,6192,1024,50,6.0469,0.0488,6.046875,0.048828125,16.5374677002584,0.8074935400516795,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733/lud-rodinia-2.0-ft__v__b__i___data_64_dat/lud-rodinia-2.0-ft__v__b__i___data_64_dat.log
