sched,ocs,dp,reuse,wbd,bank,regb,ocu,rfc,case_label,op,stage,stall,remain
gto,1,4,0,1,2,8,8,1,nn,INTP_OP,EXECUTION_PIPELINE,0,577444
gto,1,4,0,1,2,8,8,1,nn,INTP_OP,WRITEBACK,357,144718
gto,1,4,0,1,2,8,8,1,nn,LOAD_OP,SCHEDULER,3126718,4394888
gto,1,4,0,1,2,8,8,1,nn,LOAD_OP,OPERAND_COLLECTOR,3694868,7137340
gto,1,4,0,1,2,8,8,1,nn,LOAD_OP,EXECUTION_PIPELINE,0,230049668
gto,1,4,0,1,2,8,8,1,nn,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,nn,SFU_OP,SCHEDULER,26434,42341
gto,1,4,0,1,2,8,8,1,nn,SFU_OP,OPERAND_COLLECTOR,3,12864
gto,1,4,0,1,2,8,8,1,nn,SFU_OP,EXECUTION_PIPELINE,0,86870
gto,1,4,0,1,2,8,8,1,nn,SFU_OP,WRITEBACK,0,3752
gto,1,4,0,1,2,8,8,1,nn,SPECIALIZED_UNIT_1_OP,SCHEDULER,15521,24059
gto,1,4,0,1,2,8,8,1,nn,SPECIALIZED_UNIT_1_OP,OPERAND_COLLECTOR,1136,20622
gto,1,4,0,1,2,8,8,1,nn,SPECIALIZED_UNIT_1_OP,EXECUTION_PIPELINE,0,35404
gto,1,4,0,1,2,8,8,1,nn,SPECIALIZED_UNIT_1_OP,WRITEBACK,0,4346
gto,1,4,0,1,2,8,8,1,nn,SP_OP,SCHEDULER,382030,776583
gto,1,4,0,1,2,8,8,1,nn,SP_OP,OPERAND_COLLECTOR,0,348720
gto,1,4,0,1,2,8,8,1,nn,SP_OP,EXECUTION_PIPELINE,0,390208
gto,1,4,0,1,2,8,8,1,nn,SP_OP,WRITEBACK,118,97670
gto,1,4,0,1,2,8,8,1,nw,ALU_OP,SCHEDULER,576,1472
gto,1,4,0,1,2,8,8,1,nw,ALU_OP,OPERAND_COLLECTOR,0,1856
gto,1,4,0,1,2,8,8,1,nw,ALU_OP,EXECUTION_PIPELINE,0,2560
gto,1,4,0,1,2,8,8,1,nw,ALU_OP,WRITEBACK,0,640
gto,1,4,0,1,2,8,8,1,nw,INTP_OP,SCHEDULER,110735,178757
