case_label,sched,ocs,reuse_time,rfc_compiler_reuse_time,rfc_compiler_reuse_hit_time,reuse_time_rate,rfc_compiler_reuse_rate,compiler_reuse_coverage_pct,compiler_reuse_hit_over_all_reuse_pct
lud,lrr,2,6668,1024,328,6.51171875,0.3203125,15.356928614277143,4.919016196760648
lud,lrr,4,6737,1024,150,6.5791015625,0.146484375,15.199643758349414,2.226510316164465
lud,lrr,6,6192,1024,50,6.046875,0.048828125,16.5374677002584,0.8074935400516795
nn,gto,1,108970,26858,17043,4.057264129868195,0.6345595353339787,24.647150591906026,15.640084426906489
nn,gto,2,91134,26858,8251,3.3931789410976245,0.3072082805867898,29.470889020563128,9.053701143371299
nn,gto,4,62527,26858,3741,2.3280586789783304,0.13928810782634596,42.95424376669279,5.983015337374254
nn,gto,6,58220,26858,2608,2.16769677563482,0.09710328393774667,46.131913431810375,4.4795602885606325
nn,lrr,1,93497,26858,13792,3.481160175739072,0.5135155261002309,28.72605538145609,14.751275441992792
nn,lrr,2,81951,26858,7163,3.0512696403306276,0.26669893514036785,32.77324254737587,8.740588888482142
nn,lrr,4,61766,26858,2961,2.2997244768783975,0.11024648149527143,43.4834698701551,4.793899556390247
nn,lrr,6,51748,26858,2670,1.9267257427954427,0.09941172090252438,51.901522764164795,5.159619695447168
nw,gto,1,10450,1992,684,5.245983935742972,0.3433734939759036,19.0622009569378,6.545454545454546
nw,gto,2,9118,1992,348,4.577309236947791,0.1746987951807229,21.84689624917745,3.8166264531695546
nw,gto,4,9303,1992,347,4.670180722891566,0.17419678714859438,21.41244759754918,3.7299795764807055
nw,gto,6,8421,1992,312,4.227409638554217,0.1566265060240964,23.65514784467403,3.7050231563947276
nw,lrr,1,10450,1992,684,5.245983935742972,0.3433734939759036,19.0622009569378,6.545454545454546
nw,lrr,2,9118,1992,348,4.577309236947791,0.1746987951807229,21.84689624917745,3.8166264531695546
nw,lrr,4,9303,1992,347,4.670180722891566,0.17419678714859438,21.41244759754918,3.7299795764807055
nw,lrr,6,8421,1992,312,4.227409638554217,0.1566265060240964,23.65514784467403,3.7050231563947276
pathfinder,gto,1,5366,480,308,11.179166666666667,0.6416666666666667,8.94521058516586,5.73984345881476
pathfinder,gto,2,3704,480,426,7.716666666666667,0.8875,12.958963282937367,11.501079913606912
pathfinder,gto,4,2444,480,134,5.091666666666667,0.2791666666666667,19.639934533551553,5.482815057283143
pathfinder,gto,6,2293,480,72,4.777083333333334,0.15,20.93327518534671,3.139991277802006
pathfinder,lrr,1,2931,480,155,6.10625,0.3229166666666667,16.376663254861825,5.288297509382463
pathfinder,lrr,2,3240,480,272,6.75,0.5666666666666667,14.814814814814813,8.395061728395062
pathfinder,lrr,4,2217,480,148,4.61875,0.30833333333333335,21.650879566982407,6.675687866486242
pathfinder,lrr,6,2512,480,36,5.233333333333333,0.075,19.10828025477707,1.4331210191082804
srad_v2,gto,1,69081,24576,17773,2.8109130859375,0.7231852213541666,35.57562860989273,25.7277688510589
srad_v2,gto,2,50642,24576,11514,2.0606282552083335,0.468505859375,48.52888906441294,22.73606887563682
srad_v2,gto,4,41041,24576,8725,1.6699625651041667,0.3550211588541667,59.881581832801345,21.259228576301748
srad_v2,gto,6,31178,24576,4077,1.2686360677083333,0.1658935546875,78.82481236769517,13.076528321252164
srad_v2,lrr,1,42029,24576,7947,1.7101643880208333,0.3233642578125,58.473910871065215,18.90837279021628
srad_v2,lrr,2,40470,24576,7599,1.646728515625,0.3092041015625,60.726464047442555,18.77687175685693
srad_v2,lrr,4,29865,24576,4729,1.2152099609375,0.19242350260416666,82.29030637870417,15.834588983760254
srad_v2,lrr,6,26967,24576,3200,1.0972900390625,0.13020833333333334,91.13360774279676,11.866355174843326
streamcluster,gto,1,82193,43160,8299,1.9043790546802595,0.19228452270620947,52.510554426776004,10.096966894991057
streamcluster,gto,2,55485,43160,6114,1.2855653382761816,0.1416589434661724,77.78678922231234,11.01919437685861
streamcluster,gto,4,43355,43160,2748,1.0045180722891567,0.06367006487488415,99.55022488755623,6.3383692769000115
streamcluster,gto,6,38856,43160,1524,0.9002780352177943,0.03531047265987025,111.076796376364,3.9221741815935762
streamcluster,lrr,1,75316,43160,8225,1.7450417052826692,0.19056997219647823,57.305220670242704,10.920654309841202
streamcluster,lrr,2,46799,43160,5094,1.0843141797961076,0.1180259499536608,92.224192824633,10.8848479668369
streamcluster,lrr,4,34234,43160,2652,0.7931881371640408,0.06144578313253012,126.07349418706548,7.746684582578722
streamcluster,lrr,6,39368,43160,1079,0.9121408711770158,0.025,109.63218857955701,2.740804714488925
